movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Genre
0353969,Memories of Murder,2003,Unrated,132,15357,Crime
0353969,Memories of Murder,2003,Unrated,132,15357,Drama
0353969,Memories of Murder,2003,Unrated,132,15357,Mystery
0361748,Inglourious Basterds,2009,R,153,120540719,Adventure
0361748,Inglourious Basterds,2009,R,153,120540719,Drama
0361748,Inglourious Basterds,2009,R,153,120540719,War
0363163,Downfall,2004,R,156,5509040,Biography
0363163,Downfall,2004,R,156,5509040,Drama
0363163,Downfall,2004,R,156,5509040,History
0364569,Oldboy,2003,R,120,707481,Action
0364569,Oldboy,2003,R,120,707481,Drama
0364569,Oldboy,2003,R,120,707481,Mystery
0372784,Batman Begins,2005,PG-13,140,206863479,Action
0372784,Batman Begins,2005,PG-13,140,206863479,Crime
0372784,Batman Begins,2005,PG-13,140,206863479,Drama
0381681,Before Sunset,2004,R,80,5820649,Drama
0381681,Before Sunset,2004,R,80,5820649,Romance
0382932,Ratatouille,2007,G,111,206445654,Animation
0382932,Ratatouille,2007,G,111,206445654,Adventure
0382932,Ratatouille,2007,G,111,206445654,Comedy
0395169,Hotel Rwanda,2004,PG-13,121,23530892,Biography
0395169,Hotel Rwanda,2004,PG-13,121,23530892,Drama
0395169,Hotel Rwanda,2004,PG-13,121,23530892,History
0405094,The Lives of Others,2006,R,137,11286112,Drama
0405094,The Lives of Others,2006,R,137,11286112,Mystery
0405094,The Lives of Others,2006,R,137,11286112,Thriller
0405159,Million Dollar Baby,2004,PG-13,132,100492203,Drama
0405159,Million Dollar Baby,2004,PG-13,132,100492203,Sport
0407887,The Departed,2006,R,151,132399394,Crime
0407887,The Departed,2006,R,151,132399394,Drama
0407887,The Departed,2006,R,151,132399394,Thriller
0434409,V for Vendetta,2005,R,132,70511035,Action
0434409,V for Vendetta,2005,R,132,70511035,Drama
0434409,V for Vendetta,2005,R,132,70511035,Sci-Fi
0435761,Toy Story 3,2010,G,103,415004880,Animation
0435761,Toy Story 3,2010,G,103,415004880,Adventure
0435761,Toy Story 3,2010,G,103,415004880,Comedy
0457430,Pan's Labyrinth,2006,R,118,37646380,Drama
0457430,Pan's Labyrinth,2006,R,118,37646380,Fantasy
0457430,Pan's Labyrinth,2006,R,118,37646380,War
0468569,The Dark Knight,2008,PG-13,152,534987076,Action
0468569,The Dark Knight,2008,PG-13,152,534987076,Crime
0468569,The Dark Knight,2008,PG-13,152,534987076,Drama
0469494,There Will Be Blood,2007,R,158,40222514,Drama
0476735,My Father and My Son,2005,Unrated,112,,Drama
0476735,My Father and My Son,2005,Unrated,112,,Family
0477348,No Country for Old Men,2007,R,122,74283625,Crime
0477348,No Country for Old Men,2007,R,122,74283625,Drama
0477348,No Country for Old Men,2007,R,122,74283625,Thriller
0482571,The Prestige,2006,PG-13,130,53089891,Drama
0482571,The Prestige,2006,PG-13,130,53089891,Mystery
0482571,The Prestige,2006,PG-13,130,53089891,Sci-Fi
0758758,Into the Wild,2007,R,148,18354356,Adventure
0758758,Into the Wild,2007,R,148,18354356,Biography
0758758,Into the Wild,2007,R,148,18354356,Drama
0816692,Interstellar,2014,PG-13,169,188020017,Adventure
0816692,Interstellar,2014,PG-13,169,188020017,Drama
0816692,Interstellar,2014,PG-13,169,188020017,Sci-Fi
0892769,How to Train Your Dragon,2010,PG,98,217581231,Animation
0892769,How to Train Your Dragon,2010,PG,98,217581231,Action
0892769,How to Train Your Dragon,2010,PG,98,217581231,Adventure
