movie_id,Title,Year,ParentalGuide,Runtime,gross_us_canada,Star
0017136,Metropolis,1927,Unrated,153,1236166,Alfred Abel
0017136,Metropolis,1927,Unrated,153,1236166,Gustav Fröhlich
0095016,Die Hard,1988,R,132,83844093,Bruce Willis
0095016,Die Hard,1988,R,132,83844093,Alan Rickman
0095016,Die Hard,1988,R,132,83844093,Bonnie Bedelia
0119488,L.A. Confidential,1997,R,138,64616940,Kevin Spacey
0119488,L.A. Confidential,1997,R,138,64616940,Russell Crowe
0119488,L.A. Confidential,1997,R,138,64616940,Guy Pearce
0075314,Taxi Driver,1976,R,114,28262574,Robert De Niro
0075314,Taxi Driver,1976,R,114,28262574,Jodie Foster
0075314,Taxi Driver,1976,R,114,28262574,Cybill Shepherd
0097576,Indiana Jones and the Last Crusade,1989,PG-13,127,197171806,Harrison Ford
0097576,Indiana Jones and the Last Crusade,1989,PG-13,127,197171806,Sean Connery
0097576,Indiana Jones and the Last Crusade,1989,PG-13,127,197171806,Alison Doody
0208092,Snatch,2000,R,102,30328156,Jason Statham
0208092,Snatch,2000,R,102,30328156,Brad Pitt
0208092,Snatch,2000,R,102,30328156,Stephen Graham
0040522,Bicycle Thieves,1948,Unrated,89,371111,Lamberto Maggiorani
0040522,Bicycle Thieves,1948,Unrated,89,371111,Enzo Staiola
0040522,Bicycle Thieves,1948,Unrated,89,371111,Lianella Carell
0986264,Like Stars on Earth,2007,PG,165,1223869,Darsheel Safary
0986264,Like Stars on Earth,2007,PG,165,1223869,Aamir Khan
0986264,Like Stars on Earth,2007,PG,165,1223869,Tanay Chheda
8579674,1917,2019,R,119,159227644,Dean-Charles Chapman
8579674,1917,2019,R,119,159227644,George MacKay
8579674,1917,2019,R,119,159227644,Daniel Mays
1745960,Top Gun: Maverick,2022,PG-13,130,718732821,Tom Cruise
1745960,Top Gun: Maverick,2022,PG-13,130,718732821,Jennifer Connelly
1745960,Top Gun: Maverick,2022,PG-13,130,718732821,Miles Teller
0363163,Downfall,2004,R,156,5509040,Bruno Ganz
0363163,Downfall,2004,R,156,5509040,Alexandra Maria Lara
0363163,Downfall,2004,R,156,5509040,Ulrich Matthes
5074352,Dangal,2016,Unrated,161,12391761,Aamir Khan
5074352,Dangal,2016,Unrated,161,12391761,Sakshi Tanwar
5074352,Dangal,2016,Unrated,161,12391761,Fatima Sana Shaikh
0059578,For a Few Dollars More,1965,R,132,15000000,Clint Eastwood
0059578,For a Few Dollars More,1965,R,132,15000000,Lee Van Cleef
0059578,For a Few Dollars More,1965,R,132,15000000,Gian Maria Volontè
0372784,Batman Begins,2005,PG-13,140,206863479,Christian Bale
0372784,Batman Begins,2005,PG-13,140,206863479,Michael Caine
0372784,Batman Begins,2005,PG-13,140,206863479,Ken Watanabe
0012349,The Kid,1921,Passed,68,,Charles Chaplin
0012349,The Kid,1921,Passed,68,,Edna Purviance
0012349,The Kid,1921,Passed,68,,Jackie Coogan
0053291,Some Like It Hot,1959,Passed,121,,Marilyn Monroe
0053291,Some Like It Hot,1959,Passed,121,,Tony Curtis
0053291,Some Like It Hot,1959,Passed,121,,Jack Lemmon
10272386,The Father,2020,PG-13,97,2122771,Anthony Hopkins
10272386,The Father,2020,PG-13,97,2122771,Olivia Colman
10272386,The Father,2020,PG-13,97,2122771,Mark Gatiss
